name,n_queries,recall@5,recall@10,recall@20,precision@5,precision@10,precision@20,ndcg@5,ndcg@10,ndcg@20,map,mrr,ndcg@10_ci_low,ndcg@10_ci_high,same_subject@10,coverage,diversity,novelty,fit_time_s,query_latency_ms,config
"sbert(all_minilm_l6_v2,idx=flat)",1072,0.9936,1.0,1.0,0.2618,0.1354,0.0677,0.971,0.971,0.971,0.9605,0.9613,0.9645,0.977,0.2177,0.4089,0.7272,11.741,1.469,0.318,"{'index_type': 'flat', 'model_name': 'all-MiniLM-L6-v2', 'batch_size': 64}"
"sbert(all_mpnet_base_v2,idx=flat)",1072,0.9936,1.0,1.0,0.2618,0.1354,0.0677,0.9706,0.9706,0.9706,0.9599,0.9607,0.964,0.9767,0.2308,0.4121,0.7332,11.7485,0.088,0.558,"{'index_type': 'flat', 'model_name': 'all-mpnet-base-v2', 'batch_size': 64}"
"nmf(k=50,sw=on,ng=1-1,tw=1)",1072,0.9908,0.9972,0.9972,0.2612,0.1351,0.0675,0.9604,0.9604,0.9604,0.9472,0.9482,0.9532,0.9683,0.1066,0.4288,0.8207,11.8481,0.012,0.181,"{'n_topics': 50, 'stopwords': True, 'ngram_max': 1, 'title_weight': 1, 'max_iter': 400}"
"rerank(cross_encoder_ms_marco_minilm_l_6_v2,base=sbert_all_minilm_l6_v2_idx_flat,n=50,mmr=1.0)",1072,0.9936,1.0,1.0,0.2618,0.1354,0.0677,0.9604,0.9604,0.9604,0.9462,0.9465,0.9527,0.9673,0.2083,0.4095,0.7338,11.7266,0.146,76.86,"{'base': 'sbert(all_minilm_l6_v2,idx=flat)', 'cross_encoder': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_n': 50, 'mmr_lambda': 1.0}"
"bm25(sw=on,ng=1-1,tw=3,k1=1.5,b=0.75)",1072,0.9908,0.9972,0.9981,0.2612,0.1351,0.0676,0.9582,0.9582,0.9585,0.9444,0.9444,0.9505,0.9661,0.192,0.431,0.7395,11.849,0.019,3.011,"{'stopwords': True, 'ngram_max': 1, 'title_weight': 3, 'k1': 1.5, 'b': 0.75}"
"tfidf(sw=on,ng=1-2,tw=1)",1072,0.9917,0.9981,0.9991,0.2614,0.1352,0.0676,0.958,0.958,0.9582,0.9437,0.944,0.9505,0.9658,0.1918,0.4234,0.6876,11.7748,0.045,33.573,"{'stopwords': True, 'ngram_max': 2, 'title_weight': 1}"
"bm25(sw=on,ng=1-1,tw=1,k1=1.5,b=0.75)",1072,0.9908,0.9972,0.9981,0.2612,0.1351,0.0676,0.9577,0.9577,0.9579,0.9437,0.9435,0.9502,0.9655,0.1869,0.4308,0.7387,11.8535,0.022,3.023,"{'stopwords': True, 'ngram_max': 1, 'title_weight': 1, 'k1': 1.5, 'b': 0.75}"
"lsa(k=200,sw=on,ng=1-1,tw=1)",1072,0.9908,0.9972,0.9972,0.2612,0.1351,0.0675,0.9566,0.9566,0.9566,0.942,0.9426,0.9487,0.9642,0.186,0.4162,0.7133,11.7725,0.016,0.29,"{'n_topics': 200, 'stopwords': True, 'ngram_max': 1, 'title_weight': 1}"
"tfidf(sw=on,ng=1-1,tw=1)",1072,0.9908,0.9972,0.9981,0.2612,0.1351,0.0676,0.9553,0.9553,0.9555,0.9404,0.9408,0.948,0.9634,0.1905,0.44,0.723,11.8673,0.02,3.022,"{'stopwords': True, 'ngram_max': 1, 'title_weight': 1}"
"tfidf(sw=on,ng=1-1,tw=3)",1072,0.9908,0.9972,0.9981,0.2612,0.1351,0.0676,0.9527,0.9527,0.9529,0.9369,0.9369,0.9442,0.9608,0.1896,0.4394,0.7265,11.8686,0.024,3.056,"{'stopwords': True, 'ngram_max': 1, 'title_weight': 3}"
"lda(k=50,sw=on,ng=1-1,tw=1)",1072,0.9908,0.9972,0.9981,0.2612,0.1351,0.0676,0.9521,0.9521,0.9523,0.9357,0.9371,0.9439,0.9599,0.0786,0.4003,0.8307,11.5788,0.018,0.181,"{'n_topics': 50, 'stopwords': True, 'ngram_max': 1, 'title_weight': 1, 'max_iter': 20}"
"rerank(cross_encoder_ms_marco_minilm_l_6_v2,base=sbert_all_minilm_l6_v2_idx_flat,n=50,mmr=0.5)",1072,0.9769,1.0,1.0,0.2532,0.1354,0.0677,0.9358,0.9439,0.9439,0.9173,0.9393,0.935,0.9517,0.1868,0.4301,0.8227,11.7695,0.173,72.029,"{'base': 'sbert(all_minilm_l6_v2,idx=flat)', 'cross_encoder': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_n': 50, 'mmr_lambda': 0.5}"
"rerank(cross_encoder_ms_marco_minilm_l_6_v2,base=sbert_all_minilm_l6_v2_idx_flat,n=50,mmr=0.3)",1072,0.7931,0.8006,0.8619,0.1836,0.0952,0.0544,0.8179,0.8199,0.8381,0.8028,0.905,0.7999,0.8372,0.1608,0.4288,0.8939,11.7486,0.156,71.804,"{'base': 'sbert(all_minilm_l6_v2,idx=flat)', 'cross_encoder': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_n': 50, 'mmr_lambda': 0.3}"
